Event_id,id,thumbnails,title,long_desc,channel,duration,views,publish_time,url_suffix
1,9glHC8cVWzE,"['https://i.ytimg.com/vi/9glHC8cVWzE/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLAiKjgH3BO6bGka8qFgw2LTbexUyA', 'https://i.ytimg.com/vi/9glHC8cVWzE/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLDRFlouXzdOINJPfzkZIuuit5QW2A']",IFTTT || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,,Vicky Kumar,6:26,7 views,2 weeks ago,/watch?v=9glHC8cVWzE
2,Lbu70vVqm-k,"['https://i.ytimg.com/vi/Lbu70vVqm-k/hq720.jpg?sqp=-oaymwEjCOgCEMoBSFryq4qpAxUIARUAAAAAGAElAADIQj0AgKJDeAE=&rs=AOn4CLBh28IFglb1J3Qctr3X7AEZEVNGPQ', 'https://i.ytimg.com/vi/Lbu70vVqm-k/hq720.jpg?sqp=-oaymwEXCNAFEJQDSFryq4qpAwkIARUAAIhCGAE=&rs=AOn4CLCEjoEU19VbbpUxbnp1kMPgvLMSmw']",Demo Adafruit || Create Home Automation || Fully Explained || ESP32 || Ok Google || #imvickykumar999,,Vicky Kumar,0:34,1 view,2 weeks ago,/watch?v=Lbu70vVqm-k
